urn:cts:perslit:khayyam.robaee:100	khayyam		robaee	"
رباعی شمارهٔ ۱۰۰"		از بودنی ایدوست چه داری تیمار%وزفکرت بیهوده دل و جان افکار||خرم بزی و جهان بشادی گذران%تدبیر نه با تو کرده‌اند اول کار
urn:cts:perslit:khayyam.robaee:101	khayyam		robaee	"
رباعی شمارهٔ ۱۰۱"		افلاک که جز غم نفزایند دگر%ننهند بجا تا نربایند دگر||ناآمدگان اگر بدانند که ما%از دهر چه میکشیم نایند دگر
urn:cts:perslit:khayyam.robaee:102	khayyam		robaee	"
رباعی شمارهٔ ۱۰۲"		ای دل غم این جهان فرسوده مخور%بیهوده نئی غمان بیهوده مخور||چون بوده گذشت و نیست نابوده پدید%خوش باش غم بوده و نابوده مخور
urn:cts:perslit:khayyam.robaee:103	khayyam		robaee	"
رباعی شمارهٔ ۱۰۳"		ایدل همه اسباب جهان خواسته گیر%باغ طربت به سبزه آراسته گیر||و آنگاه بر آن سبزه شبی چون شبنم%بنشسته و بامداد برخاسته گیر
urn:cts:perslit:khayyam.robaee:104	khayyam		robaee	"
رباعی شمارهٔ ۱۰۴"		این اهل قبور خاک گشتند و غبار%هر ذره ز هر ذره گرفتند کنار||آه این چه شراب است که تا روز شمار%بیخود شده و بی‌خبرند از همه کار
urn:cts:perslit:khayyam.robaee:105	khayyam		robaee	"
رباعی شمارهٔ ۱۰۵"		خشت سر خم ز ملکت جم خوشتر%بوی قدح از غذای مریم خوشتر||آه سحری ز سینه خماری%از ناله بوسعید و ادهم خوشتر
urn:cts:perslit:khayyam.robaee:106	khayyam		robaee	"
رباعی شمارهٔ ۱۰۶"		در دایره سپهر ناپیدا غور%جامی‌ست که جمله را چشانند بدور||نوبت چو به دور تو رسد آه مکن%می نوش به خوشدلی که دور است نه جور
urn:cts:perslit:khayyam.robaee:107	khayyam		robaee	"
رباعی شمارهٔ ۱۰۷"		دی کوزه‌گری بدیدم اندر بازار%بر پاره گلی لگد همی زد بسیار||و آن گل بزبان حال با او می‌گفت%من همچو تو بوده‌ام مرا نیکودار
urn:cts:perslit:khayyam.robaee:108	khayyam		robaee	"
رباعی شمارهٔ ۱۰۸"		ز آن می که حیات جاودانیست بخور%سرمایه لذت جوانی است بخور||سوزنده چو آتش است لیکن غم را%سازنده چو آب زندگانی است بخور
urn:cts:perslit:khayyam.robaee:109	khayyam		robaee	"
رباعی شمارهٔ ۱۰۹"		گر باده خوری تو با خردمندان خور%یا با صنمی لاله رخی خندان خور||بسیار مخور و رد مکن فاش مساز%اندک خور و گه گاه خور و پنهان خور
urn:cts:perslit:khayyam.robaee:10	khayyam		robaee	"
رباعی شمارهٔ ۱۰"		امروز ترا دسترس فردا نیست%و اندیشه فردات بجز سودا نیست||ضایع مکن این دم ار دلت شیدا نیست%کاین باقی عمر را بها پیدا نیست
urn:cts:perslit:khayyam.robaee:110	khayyam		robaee	"
رباعی شمارهٔ ۱۱۰"		وقت سحر است خیز ای طرفه پسر%پر بادهٔ لعل کن بلورین ساغر||کاین یکدم عاریت در این کنج فنا%بسیار بجویی و نیابی دیگر
urn:cts:perslit:khayyam.robaee:111	khayyam		robaee	"
رباعی شمارهٔ ۱۱۱"		از جمله رفتگان این راه دراز%باز آمده کیست تا بما گوید باز||پس بر سر این دو راههٔ آز و نیاز%تا هیچ نمانی که نمی‌آیی باز
urn:cts:perslit:khayyam.robaee:112	khayyam		robaee	"
رباعی شمارهٔ ۱۱۲"		ای پیر خردمند پگه‌تر برخیز%و آن کودک خاکبیز را بنگر تیز||پندش ده گو که نرم نرمک می‌بیز%مغز سر کیقباد و چشم پرویز
urn:cts:perslit:khayyam.robaee:113	khayyam		robaee	"
رباعی شمارهٔ ۱۱۳"		وقت سحر است خیز ای مایه ناز%نرمک نرمک باده خور و چنگ نواز||کانها که بجایند نپایند بسی%و آنها که شدند کس نمیاید باز
urn:cts:perslit:khayyam.robaee:114	khayyam		robaee	"
رباعی شمارهٔ ۱۱۴"		مرغی دیدم نشسته بر باره طوس%در پیش نهاده کله کیکاووس||با کله همی گفت که افسوس افسوس%کو بانگ جرسها و کجا ناله کوس
urn:cts:perslit:khayyam.robaee:115	khayyam		robaee	"
رباعی شمارهٔ ۱۱۵"		جامی است که عقل آفرین میزندش%صد بوسه ز مهر بر جبین میزندش||این کوزه‌گر دهر چنین جام لطیف%می‌سازد و باز بر زمین میزندش
urn:cts:perslit:khayyam.robaee:116	khayyam		robaee	"
رباعی شمارهٔ ۱۱۶"		خیام اگر ز باده مستی خوش باش%با ماهرخی اگر نشستی خوش باش||چون عاقبت کار جهان نیستی است%انگار که نیستی چو هستی خوش باش
urn:cts:perslit:khayyam.robaee:117	khayyam		robaee	"
رباعی شمارهٔ ۱۱۷"		در کارگه کوزه‌گری رفتم دوش%دیدم دو هزار کوزه گویا و خموش||ناگاه یکی کوزه برآورد خروش%کو کوزه‌گر و کوزه‌خر و کوزه فروش
urn:cts:perslit:khayyam.robaee:118	khayyam		robaee	"
رباعی شمارهٔ ۱۱۸"		ایام زمانه از کسی دارد ننگ%کو در غم ایام نشیند دلتنگ||می خور تو در آبگینه با ناله چنگ%زان پیش که آبگینه آید بر سنگ
urn:cts:perslit:khayyam.robaee:119	khayyam		robaee	"
رباعی شمارهٔ ۱۱۹"		از جرم گل سیاه تا اوج زحل%کردم همه مشکلات کلی را حل||بگشادم بندهای مشکل به حیل%هر بند گشاده شد بجز بند اجل
urn:cts:perslit:khayyam.robaee:11	khayyam		robaee	"
رباعی شمارهٔ ۱۱"		ای آمده از عالم روحانی تفت%حیران شده در پنج و چهار و شش و هفت||می نوش ندانی ز کجا آمده‌ای%خوش باش ندانی بکجا خواهی رفت
urn:cts:perslit:khayyam.robaee:120	khayyam		robaee	"
رباعی شمارهٔ ۱۲۰"		با سرو قدی تازه‌تر از خرمن گل%از دست منه جام می و دامن گل||زان پیش که ناگه شود از باد اجل%پیراهن عمر ما چو پیراهن گل
urn:cts:perslit:khayyam.robaee:121	khayyam		robaee	"
رباعی شمارهٔ ۱۲۱"		ای دوست بیا تا غم فردا نخوریم%وین یکدم عمر را غنیمت شمریم||فردا که ازین دیر فنا درگذریم%با هفت هزار سالگان سر بسریم
urn:cts:perslit:khayyam.robaee:122	khayyam		robaee	"
رباعی شمارهٔ ۱۲۲"		این چرخ فلک که ما در او حیرانیم%فانوس خیال از او مثالی دانیم||خورشید چراغ دان و عالم فانوس%ما چون صوریم کاندر او حیرانیم
urn:cts:perslit:khayyam.robaee:123	khayyam		robaee	"
رباعی شمارهٔ ۱۲۳"		برخیز ز خواب تا شرابی بخوریم%زان پیش که از زمانه تابی بخوریم||کاین چرخ ستیزه روی ناگه روزی%چندان ندهد زمان که آبی بخوریم
urn:cts:perslit:khayyam.robaee:124	khayyam		robaee	"
رباعی شمارهٔ ۱۲۴"		برخیزم و عزم باده ناب کنم%رنگ رخ خود به رنگ عناب کنم||این عقل فضول پیشه را مشتی می%بر روی زنم چنانکه در خواب کنم
urn:cts:perslit:khayyam.robaee:125	khayyam		robaee	"
رباعی شمارهٔ ۱۲۵"		بر مفرش خاک خفتگان می‌بینم%در زیرزمین نهفتگان می‌بینم||چندانکه به صحرای عدم مینگرم%ناآمدگان و رفتگان می‌بینم
